shipment_id,origin,destination,distance,weather,traffic,Port_Congestion,Eta_Hours,Carrier_History,delay
392,Jharsuguda,Raipur,315,Low,Low,4.0,56.0,Poor,0
393,Paradeep,Rourkela,438,Low,,3.0,29.0,Good,0
394,Ranchi,Rayagada,1899,High,Low,1.0,27.0,Poor,0
395,Sambalpur,Jajpur,760,Medium,,0.0,27.0,Poor,0
396,Kolkata,Puri,1204,High,High,0.0,11.0,Average,0
397,Jajpur,Bilaspur,1850,High,Medium,0.0,13.0,Average,0
398,Kendrapara,Puri,1608,Medium,High,4.0,39.0,Poor,1
399,Rayagada,Keonjhar,473,Low,Medium,4.0,42.0,Good,1
400,Baripada,Keonjhar,1075,Low,Medium,1.0,45.0,Poor,0
401,Balasore,Baripada,809,High,,3.0,27.0,Good,1
402,Rayagada,Bilaspur,1323,Low,Medium,1.0,46.0,Good,0
403,Jharsuguda,Sambalpur,1660,High,High,2.0,28.0,Average,1
404,Dhenkanal,Rayagada,565,High,Medium,0.0,56.0,Good,0
405,Puri,Visakhapatnam,1212,Medium,,0.0,37.0,Good,0
406,Bhubaneswar,Berhampur,1391,Medium,High,0.0,49.0,Poor,0
407,Cuttack,Cuttack,1778,Medium,Medium,,29.0,Average,0
408,Jharsuguda,Sambalpur,1694,High,Low,1.0,,Good,0
409,Rourkela,Ranchi,588,Medium,Medium,0.0,42.0,Good,0
410,Rourkela,Paradeep,1661,Low,High,1.0,21.0,Average,0
411,Ranchi,Kharagpur,146,Low,Low,4.0,67.0,Poor,0
412,Raipur,Jajpur,1411,High,Medium,,60.0,Average,1
413,Balasore,Jharsuguda,877,High,Medium,1.0,24.0,Average,0
414,Raipur,Rayagada,1139,Medium,Medium,0.0,50.0,Good,0
415,Durg,Dhenkanal,810,High,Low,1.0,48.0,Good,0
416,Ranchi,Kendrapara,500,High,High,1.0,11.0,,1
417,Angul,Jajpur,1917,Low,Medium,1.0,38.0,Good,0
418,Angul,Bhadrak,1080,Low,Medium,2.0,50.0,Good,0
419,Kharagpur,Jajpur,1209,Medium,Medium,4.0,19.0,,0
420,Visakhapatnam,Rourkela,349,High,Medium,3.0,11.0,Good,1
421,Bhubaneswar,Bhubaneswar,490,High,Medium,3.0,60.0,Poor,0
422,Paradeep,Visakhapatnam,1905,Low,High,2.0,20.0,Average,0
423,Kendrapara,Raipur,434,High,High,1.0,22.0,Poor,1
424,Jharsuguda,Visakhapatnam,728,Low,,2.0,19.0,Average,0
425,Kendrapara,Kolkata,1642,Medium,,2.0,23.0,Good,0
426,Angul,Bhubaneswar,236,Low,High,0.0,27.0,Average,0
427,Dhenkanal,Angul,982,High,Low,4.0,60.0,Average,1
428,Visakhapatnam,Puri,787,Medium,High,3.0,63.0,Good,1
429,Sambalpur,Jharsuguda,1963,Low,Medium,1.0,18.0,Good,0
430,Durg,Kharagpur,1621,,High,3.0,66.0,Poor,1
431,Bhubaneswar,Kendrapara,926,,Medium,3.0,48.0,Poor,0
432,Visakhapatnam,Sambalpur,826,Medium,High,4.0,37.0,Good,1
433,Sambalpur,Visakhapatnam,1600,Low,Medium,3.0,12.0,Good,0
434,Cuttack,Koraput,693,High,Medium,3.0,29.0,Good,1
435,Raipur,Baripada,1346,Low,Medium,2.0,15.0,Average,0
436,Rourkela,Visakhapatnam,1089,Medium,,4.0,,Average,0
437,Jajpur,Sambalpur,471,Low,Low,0.0,62.0,Average,0
438,Ranchi,Kolkata,1034,Medium,,,11.0,Good,0
439,Balasore,Kolkata,1094,Medium,Low,3.0,38.0,Poor,0
440,Visakhapatnam,Durg,501,High,Low,1.0,47.0,,0
441,Balasore,Angul,1566,Medium,Medium,,12.0,Average,0
442,Kendrapara,Paradeep,1613,Medium,Low,1.0,25.0,Average,0
443,Angul,Sambalpur,714,High,High,0.0,39.0,Good,0
444,Sambalpur,Angul,1396,Medium,Medium,2.0,49.0,Good,0
445,Baripada,Kolkata,1649,High,Low,3.0,,Average,1
446,Bhubaneswar,Cuttack,1282,High,Medium,0.0,26.0,Average,0
447,Raipur,Raipur,1275,Medium,Medium,1.0,,Average,0
448,Kolkata,Kharagpur,1094,Medium,Medium,3.0,71.0,Good,0
449,Raipur,Jharsuguda,719,Low,Low,2.0,21.0,Average,0
450,Dhenkanal,Sambalpur,287,High,High,3.0,44.0,Average,1
451,Koraput,Ranchi,1936,Low,High,0.0,52.0,Poor,0
452,Bhadrak,Bhadrak,1221,Medium,Low,2.0,10.0,Good,0
453,Berhampur,Baripada,230,Low,Medium,,64.0,Poor,0
454,Kendrapara,Balasore,904,High,Low,2.0,54.0,Poor,0
455,Kolkata,Keonjhar,1294,Low,Low,2.0,24.0,Average,0
456,Kendrapara,Dhenkanal,1035,High,Low,4.0,35.0,Good,1
457,Sambalpur,Paradeep,1085,Medium,Medium,2.0,46.0,Average,0
458,Visakhapatnam,Kolkata,282,Medium,Low,2.0,30.0,Good,0
459,Angul,Bilaspur,1082,High,Medium,3.0,71.0,Poor,0
460,Dhenkanal,Baripada,463,Medium,Low,1.0,58.0,Good,0
461,Angul,Baripada,138,Medium,High,3.0,40.0,Average,0
462,Ranchi,Koraput,1650,Medium,Low,,34.0,Average,0
463,Visakhapatnam,Rourkela,596,Medium,Low,0.0,32.0,Average,0
464,Puri,Baripada,1639,High,High,3.0,33.0,Good,1
465,Jharsuguda,Visakhapatnam,1472,Low,Medium,4.0,66.0,,0
466,Bhubaneswar,Paradeep,1081,Low,Medium,4.0,47.0,Poor,0
467,Ranchi,Dhenkanal,1020,Medium,Low,0.0,37.0,Good,0
468,Sambalpur,Baripada,1520,Low,High,1.0,30.0,Average,0
469,Visakhapatnam,Durg,821,Low,Medium,1.0,63.0,Poor,0
470,Bhadrak,Kolkata,1284,Medium,Low,,52.0,Average,0
471,Sambalpur,Jajpur,115,Medium,High,3.0,27.0,Good,0
472,Balasore,Raipur,592,Low,Medium,3.0,45.0,Average,0
473,Kendrapara,Visakhapatnam,1549,High,Medium,1.0,44.0,Poor,0
474,Bilaspur,Bilaspur,1231,Medium,High,2.0,54.0,Poor,0
475,Dhenkanal,Paradeep,993,High,High,4.0,64.0,Average,1
476,Rayagada,Balasore,1573,,High,2.0,18.0,,0
477,Durg,Bilaspur,410,Medium,High,2.0,62.0,,0
478,Cuttack,Angul,838,High,Low,1.0,47.0,Good,0
479,Berhampur,Rayagada,1293,Medium,High,2.0,67.0,Average,0
480,Rayagada,Baripada,645,Low,Medium,0.0,,Poor,0
481,Jharsuguda,Rayagada,513,High,Medium,3.0,69.0,Good,1
482,Puri,Ranchi,350,,Low,0.0,53.0,Good,0
483,Sambalpur,Kharagpur,858,Low,Medium,4.0,43.0,Good,0
484,Keonjhar,Kolkata,1904,Medium,Medium,3.0,41.0,Poor,0
485,Visakhapatnam,Dhenkanal,1264,High,High,2.0,12.0,Average,1
486,Kharagpur,Keonjhar,1397,Low,Medium,,12.0,Poor,0
487,Baripada,Bilaspur,1539,Low,Low,3.0,37.0,Good,0
488,Baripada,Paradeep,1731,High,High,2.0,53.0,Average,1
489,Baripada,Puri,1862,Low,High,0.0,24.0,Poor,1
490,Durg,Koraput,1162,Low,Low,3.0,50.0,Good,0
491,Bhadrak,Sambalpur,913,High,High,2.0,32.0,Good,1
492,Raipur,Baripada,128,High,High,0.0,49.0,Poor,1
493,Jharsuguda,Bilaspur,1057,High,Low,4.0,20.0,Poor,0
494,Rourkela,Rourkela,576,,High,4.0,57.0,Poor,1
495,Durg,Bilaspur,417,Medium,Low,4.0,41.0,Good,0
496,Jajpur,Berhampur,344,High,Low,4.0,67.0,Poor,1
497,Ranchi,Bhubaneswar,847,Medium,Medium,1.0,68.0,Good,0
498,Jajpur,Jajpur,796,Medium,Medium,3.0,66.0,Poor,0
499,Keonjhar,Koraput,371,Medium,High,3.0,63.0,Good,0
500,Rayagada,Rourkela,1563,Low,High,1.0,45.0,Good,0
